奴	ˁa
睪	æk
羊	æŋ
方	æŋ
尚	æŋs
相	æŋs
且	æʔ
皮	aj
我	ˁaj
奇	ajs
它	ˁajs
也	ajʔ
可	ˁajʔ
莫	ˁak
甫	ˁaks
單	al
那	ˁal
僉	ams
戔	an
安	ˁan
皇	ˁaŋ
岡	ˁaŋ
亡	aŋs
將	aŋʔ
昜	ˁaŋʔ
土	ˁas
度	ˁas
召	aw
卓	awk
喿	ˁaws
者	aʔ
古	ˁaʔ
支	e
寺	ˁə
非	əj
幾	əjʔ
戠	ək
畐	əks
艮	ˁəl
占	ˁem
扁	en
睘	ˁen
成	eŋ
丁	ˁeŋ
曾	ˁəŋ
巠	ˁeŋs
生	ˁeŋʔ
星	ˁeŋʔ
及	əp
夾	ˁep
帝	ˁes
折	ets
肖	ew
票	ews
堯	ewʔ
氏	eʔ
止	əʔ
子	əʔ
司	əʔ
宰	əʔ
每	ˁəʔ
次	i
氐	ˁi
廷	ˁiŋ
比	iʔ
咅	ˁo
咼	ˁojs
谷	ok
賣	ˁok
雚	ˁol
夗	onʔ
宛	onʔ
容	oŋ
同	ˁoŋ
共	oŋs
東	ˁoŋs
重	oŋʔ
甬	ˁoŋʔ
付	os
兌	ot
俞	ow
主	oʔ
句	oʔ
余	ra
巴	rˁa
乍	rˁæks
襄	ræŋ
麻	rˁaj
白	rˁak
斥	rˁaks
闌	rˁan
良	raŋ
倉	rˁaŋ
牙	rˁas
兆	raw
各	rˁawk
路	rˁawk
巨	raʔ
馬	rˁaʔ
其	rə
平	reŋ
令	rˁeŋ
登	rˁəŋ
交	rˁew
尞	rˁewʔ
皆	rˁi
由	riw
翏	rˁiw
區	ro
婁	rˁo
彔	rˁok
免	rolʔ
夆	roŋ
龍	rˁoŋ
禺	ros
冓	rˁos
包	rˁu
侖	run
曹	ˁu
隹	uj
崔	ˁuj
尊	ˁun
工	ˁuŋ
冬	ˁuŋ
空	ˁuŋ
考	ˁuʔ
